PG Count,GSM,Binding ,Paper,Spine
1,55,paperback,crème,0.655
2,55,paperback,crème,0.71
3,55,paperback,crème,0.765
4,55,paperback,crème,0.82
5,55,paperback,crème,0.875
6,55,paperback,crème,0.93
7,55,paperback,crème,0.985
8,55,paperback,crème,1.04
9,55,paperback,crème,1.095
10,55,paperback,crème,1.15
11,55,paperback,crème,1.205
12,55,paperback,crème,1.26
13,55,paperback,crème,1.315
14,55,paperback,crème,1.37
15,55,paperback,crème,1.425
16,55,paperback,crème,1.48
17,55,paperback,crème,1.535
18,55,paperback,crème,1.59
19,55,paperback,crème,1.645
20,55,paperback,crème,1.7
21,55,paperback,crème,1.755
22,55,paperback,crème,1.81
23,55,paperback,crème,1.865
24,55,paperback,crème,1.92
25,55,paperback,crème,1.975
26,55,paperback,crème,2.03
27,55,paperback,crème,2.085
28,55,paperback,crème,2.14
29,55,paperback,crème,2.195
30,55,paperback,crème,2.25
31,55,paperback,crème,2.305
32,55,paperback,crème,2.36
33,55,paperback,crème,2.415
34,55,paperback,crème,2.47
35,55,paperback,crème,2.525
36,55,paperback,crème,2.58
37,55,paperback,crème,2.635
38,55,paperback,crème,2.69
39,55,paperback,crème,2.745
40,55,paperback,crème,2.8
41,55,paperback,crème,2.855
42,55,paperback,crème,2.91
43,55,paperback,crème,2.965
44,55,paperback,crème,3.02
45,55,paperback,crème,3.075
46,55,paperback,crème,3.13
47,55,paperback,crème,3.185
48,55,paperback,crème,3.24
49,55,paperback,crème,3.295
50,55,paperback,crème,3.35
51,55,paperback,crème,3.405
52,55,paperback,crème,3.46
53,55,paperback,crème,3.515
54,55,paperback,crème,3.57
55,55,paperback,crème,3.625
56,55,paperback,crème,3.68
57,55,paperback,crème,3.735
58,55,paperback,crème,3.79
59,55,paperback,crème,3.845
60,55,paperback,crème,3.9
61,55,paperback,crème,3.955
62,55,paperback,crème,4.01
63,55,paperback,crème,4.065
64,55,paperback,crème,4.12
65,55,paperback,crème,4.175
66,55,paperback,crème,4.23
67,55,paperback,crème,4.285
68,55,paperback,crème,4.34
69,55,paperback,crème,4.395
70,55,paperback,crème,4.45
71,55,paperback,crème,4.505
72,55,paperback,crème,4.56
73,55,paperback,crème,4.615
74,55,paperback,crème,4.67
75,55,paperback,crème,4.725
76,55,paperback,crème,4.78
77,55,paperback,crème,4.835
78,55,paperback,crème,4.89
79,55,paperback,crème,4.945
80,55,paperback,crème,5
81,55,paperback,crème,5.055
82,55,paperback,crème,5.11
83,55,paperback,crème,5.165
84,55,paperback,crème,5.22
85,55,paperback,crème,5.275
86,55,paperback,crème,5.33
87,55,paperback,crème,5.385
88,55,paperback,crème,5.44
89,55,paperback,crème,5.495
90,55,paperback,crème,5.55
91,55,paperback,crème,5.605
92,55,paperback,crème,5.66
93,55,paperback,crème,5.715
94,55,paperback,crème,5.77
95,55,paperback,crème,5.825
96,55,paperback,crème,5.88
97,55,paperback,crème,5.935
98,55,paperback,crème,5.99
99,55,paperback,crème,6.045
100,55,paperback,crème,6.1
101,55,paperback,crème,6.155
102,55,paperback,crème,6.21
103,55,paperback,crème,6.265
104,55,paperback,crème,6.32
105,55,paperback,crème,6.375
106,55,paperback,crème,6.43
107,55,paperback,crème,6.485
108,55,paperback,crème,6.54
109,55,paperback,crème,6.595
110,55,paperback,crème,6.65
111,55,paperback,crème,6.705
112,55,paperback,crème,6.76
113,55,paperback,crème,6.815
114,55,paperback,crème,6.87
115,55,paperback,crème,6.925
116,55,paperback,crème,6.98
117,55,paperback,crème,7.035
118,55,paperback,crème,7.09
119,55,paperback,crème,7.145
120,55,paperback,crème,7.2
121,55,paperback,crème,7.255
122,55,paperback,crème,7.31
123,55,paperback,crème,7.365
124,55,paperback,crème,7.42
125,55,paperback,crème,7.475
126,55,paperback,crème,7.53
127,55,paperback,crème,7.585
128,55,paperback,crème,7.64
129,55,paperback,crème,7.695
130,55,paperback,crème,7.75
131,55,paperback,crème,7.805
132,55,paperback,crème,7.86
133,55,paperback,crème,7.915
134,55,paperback,crème,7.97
135,55,paperback,crème,8.025
136,55,paperback,crème,8.08
137,55,paperback,crème,8.135
138,55,paperback,crème,8.19
139,55,paperback,crème,8.245
140,55,paperback,crème,8.3
141,55,paperback,crème,8.355
142,55,paperback,crème,8.41
143,55,paperback,crème,8.465
144,55,paperback,crème,8.52
145,55,paperback,crème,8.575
146,55,paperback,crème,8.63
147,55,paperback,crème,8.685
148,55,paperback,crème,8.74
149,55,paperback,crème,8.795
150,55,paperback,crème,8.85
151,55,paperback,crème,8.905
152,55,paperback,crème,8.96
153,55,paperback,crème,9.015
154,55,paperback,crème,9.07
155,55,paperback,crème,9.125
156,55,paperback,crème,9.18
157,55,paperback,crème,9.235
158,55,paperback,crème,9.29
159,55,paperback,crème,9.345
160,55,paperback,crème,9.4
161,55,paperback,crème,9.455
162,55,paperback,crème,9.51
163,55,paperback,crème,9.565
164,55,paperback,crème,9.62
165,55,paperback,crème,9.675
166,55,paperback,crème,9.73
167,55,paperback,crème,9.785
168,55,paperback,crème,9.84
169,55,paperback,crème,9.895
170,55,paperback,crème,9.95
171,55,paperback,crème,10.005
172,55,paperback,crème,10.06
173,55,paperback,crème,10.115
174,55,paperback,crème,10.17
175,55,paperback,crème,10.225
176,55,paperback,crème,10.28
177,55,paperback,crème,10.335
178,55,paperback,crème,10.39
179,55,paperback,crème,10.445
180,55,paperback,crème,10.5
181,55,paperback,crème,10.555
182,55,paperback,crème,10.61
183,55,paperback,crème,10.665
184,55,paperback,crème,10.72
185,55,paperback,crème,10.775
186,55,paperback,crème,10.83
187,55,paperback,crème,10.885
188,55,paperback,crème,10.94
189,55,paperback,crème,10.995
190,55,paperback,crème,11.05
191,55,paperback,crème,11.105
192,55,paperback,crème,11.16
193,55,paperback,crème,11.215
194,55,paperback,crème,11.27
195,55,paperback,crème,11.325
196,55,paperback,crème,11.38
197,55,paperback,crème,11.435
198,55,paperback,crème,11.49
199,55,paperback,crème,11.545
200,55,paperback,crème,11.6
201,55,paperback,crème,11.655
202,55,paperback,crème,11.71
203,55,paperback,crème,11.765
204,55,paperback,crème,11.82
205,55,paperback,crème,11.875
206,55,paperback,crème,11.93
207,55,paperback,crème,11.985
208,55,paperback,crème,12.04
209,55,paperback,crème,12.095
210,55,paperback,crème,12.15
211,55,paperback,crème,12.205
212,55,paperback,crème,12.26
213,55,paperback,crème,12.315
214,55,paperback,crème,12.37
215,55,paperback,crème,12.425
216,55,paperback,crème,12.48
217,55,paperback,crème,12.535
218,55,paperback,crème,12.59
219,55,paperback,crème,12.645
220,55,paperback,crème,12.7
221,55,paperback,crème,12.755
222,55,paperback,crème,12.81
223,55,paperback,crème,12.865
224,55,paperback,crème,12.92
225,55,paperback,crème,12.975
226,55,paperback,crème,13.03
227,55,paperback,crème,13.085
228,55,paperback,crème,13.14
229,55,paperback,crème,13.195
230,55,paperback,crème,13.25
231,55,paperback,crème,13.305
232,55,paperback,crème,13.36
233,55,paperback,crème,13.415
234,55,paperback,crème,13.47
235,55,paperback,crème,13.525
236,55,paperback,crème,13.58
237,55,paperback,crème,13.635
238,55,paperback,crème,13.69
239,55,paperback,crème,13.745
240,55,paperback,crème,13.8
241,55,paperback,crème,13.855
242,55,paperback,crème,13.91
243,55,paperback,crème,13.965
244,55,paperback,crème,14.02
245,55,paperback,crème,14.075
246,55,paperback,crème,14.13
247,55,paperback,crème,14.185
248,55,paperback,crème,14.24
249,55,paperback,crème,14.295
250,55,paperback,crème,14.35
251,55,paperback,crème,14.405
252,55,paperback,crème,14.46
253,55,paperback,crème,14.515
254,55,paperback,crème,14.57
255,55,paperback,crème,14.625
256,55,paperback,crème,14.68
257,55,paperback,crème,14.735
258,55,paperback,crème,14.79
259,55,paperback,crème,14.845
260,55,paperback,crème,14.9
261,55,paperback,crème,14.955
262,55,paperback,crème,15.01
263,55,paperback,crème,15.065
264,55,paperback,crème,15.12
265,55,paperback,crème,15.175
266,55,paperback,crème,15.23
267,55,paperback,crème,15.285
268,55,paperback,crème,15.34
269,55,paperback,crème,15.395
270,55,paperback,crème,15.45
271,55,paperback,crème,15.505
272,55,paperback,crème,15.56
273,55,paperback,crème,15.615
274,55,paperback,crème,15.67
275,55,paperback,crème,15.725
276,55,paperback,crème,15.78
277,55,paperback,crème,15.835
278,55,paperback,crème,15.89
279,55,paperback,crème,15.945
280,55,paperback,crème,16
281,55,paperback,crème,16.055
282,55,paperback,crème,16.11
283,55,paperback,crème,16.165
284,55,paperback,crème,16.22
285,55,paperback,crème,16.275
286,55,paperback,crème,16.33
287,55,paperback,crème,16.385
288,55,paperback,crème,16.44
289,55,paperback,crème,16.495
290,55,paperback,crème,16.55
291,55,paperback,crème,16.605
292,55,paperback,crème,16.66
293,55,paperback,crème,16.715
294,55,paperback,crème,16.77
295,55,paperback,crème,16.825
296,55,paperback,crème,16.88
297,55,paperback,crème,16.935
298,55,paperback,crème,16.99
299,55,paperback,crème,17.045
300,55,paperback,crème,17.1
301,55,paperback,crème,17.155
302,55,paperback,crème,17.21
303,55,paperback,crème,17.265
304,55,paperback,crème,17.32
305,55,paperback,crème,17.375
306,55,paperback,crème,17.43
307,55,paperback,crème,17.485
308,55,paperback,crème,17.54
309,55,paperback,crème,17.595
310,55,paperback,crème,17.65
311,55,paperback,crème,17.705
312,55,paperback,crème,17.76
313,55,paperback,crème,17.815
314,55,paperback,crème,17.87
315,55,paperback,crème,17.925
316,55,paperback,crème,17.98
317,55,paperback,crème,18.035
318,55,paperback,crème,18.09
319,55,paperback,crème,18.145
320,55,paperback,crème,18.2
321,55,paperback,crème,18.255
322,55,paperback,crème,18.31
323,55,paperback,crème,18.365
324,55,paperback,crème,18.42
325,55,paperback,crème,18.475
326,55,paperback,crème,18.53
327,55,paperback,crème,18.585
328,55,paperback,crème,18.64
329,55,paperback,crème,18.695
330,55,paperback,crème,18.75
331,55,paperback,crème,18.805
332,55,paperback,crème,18.86
333,55,paperback,crème,18.915
334,55,paperback,crème,18.97
335,55,paperback,crème,19.025
336,55,paperback,crème,19.08
337,55,paperback,crème,19.135
338,55,paperback,crème,19.19
339,55,paperback,crème,19.245
340,55,paperback,crème,19.3
341,55,paperback,crème,19.355
342,55,paperback,crème,19.41
343,55,paperback,crème,19.465
344,55,paperback,crème,19.52
345,55,paperback,crème,19.575
